,,,0
いも及びでん粉類,＜いも類＞（やまのいも類）じねんじょ塊根生,Calorie_cal,121
いも及びでん粉類,＜いも類＞（やまのいも類）だいじょ塊根生,Calorie_cal,109
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）キャッサバでん粉,Calorie_cal,346
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）くずでん粉,Calorie_cal,347
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）米でん粉,Calorie_cal,366
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）小麦でん粉,Calorie_cal,351
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）サゴでん粉,Calorie_cal,349
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）さつまいもでん粉,Calorie_cal,332
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）じゃがいもでん粉,Calorie_cal,330
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉類）とうもろこしでん粉,Calorie_cal,354
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）くずきり乾,Calorie_cal,356
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）くずきりゆで,Calorie_cal,135
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）ごま豆腐,Calorie_cal,81
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）タピオカパール乾,Calorie_cal,355
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）タピオカパールゆで,Calorie_cal,62
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん生,Calorie_cal,131
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん乾,Calorie_cal,353
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）でん粉めん乾ゆで,Calorie_cal,84
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）はるさめ緑豆はるさめ乾,Calorie_cal,356
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）はるさめ緑豆はるさめゆで,Calorie_cal,84
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめ乾,Calorie_cal,350
いも及びでん粉類,＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめゆで,Calorie_cal,80
砂糖及び甘味類,（砂糖類）黒砂糖,Calorie_cal,354
砂糖及び甘味類,（砂糖類）和三盆糖,Calorie_cal,383
砂糖及び甘味類,（砂糖類）車糖上白糖,Calorie_cal,384
砂糖及び甘味類,（砂糖類）車糖三温糖,Calorie_cal,382
砂糖及び甘味類,（砂糖類）ざらめ糖グラニュー糖,Calorie_cal,387
砂糖及び甘味類,（砂糖類）ざらめ糖白ざら糖,Calorie_cal,387
砂糖及び甘味類,（砂糖類）ざらめ糖中ざら糖,Calorie_cal,387
砂糖及び甘味類,（砂糖類）加工糖角砂糖,Calorie_cal,387
砂糖及び甘味類,（砂糖類）加工糖氷砂糖,Calorie_cal,387
砂糖及び甘味類,（砂糖類）加工糖コーヒーシュガー,Calorie_cal,387
砂糖及び甘味類,（砂糖類）加工糖粉糖,Calorie_cal,386
砂糖及び甘味類,（砂糖類）液糖しょ糖型液糖,Calorie_cal,271
砂糖及び甘味類,（砂糖類）液糖転化型液糖,Calorie_cal,307
砂糖及び甘味類,（砂糖類）氷糖みつ,Calorie_cal,265
砂糖及び甘味類,（でん粉糖類）粉あめ,Calorie_cal,381
砂糖及び甘味類,（でん粉糖類）水あめ酵素糖化,Calorie_cal,328
砂糖及び甘味類,（でん粉糖類）水あめ酸糖化,Calorie_cal,328
砂糖及び甘味類,（でん粉糖類）ぶどう糖全糖,Calorie_cal,335
砂糖及び甘味類,（でん粉糖類）ぶどう糖含水結晶,Calorie_cal,336
砂糖及び甘味類,（でん粉糖類）ぶどう糖無水結晶,Calorie_cal,367
砂糖及び甘味類,（でん粉糖類）果糖,Calorie_cal,368
砂糖及び甘味類,（でん粉糖類）異性化液糖ぶどう糖果糖液糖,Calorie_cal,276
砂糖及び甘味類,（でん粉糖類）異性化液糖果糖ぶどう糖液糖,Calorie_cal,276
砂糖及び甘味類,（でん粉糖類）異性化液糖高果糖液糖,Calorie_cal,276
砂糖及び甘味類,（その他）黒蜜,Calorie_cal,199
砂糖及び甘味類,（その他）はちみつ,Calorie_cal,294
砂糖及び甘味類,（その他）メープルシロップ,Calorie_cal,257
豆類,あずき全粒乾,Calorie_cal,339
豆類,あずき全粒ゆで,Calorie_cal,143
